OBJECTID_1;LAN_ew_AGS;LAN_ew_GEN;LAN_ew_BEZ;LAN_ew_EWZ;OBJECTID;Fallzahl;Aktualisierung;AGS_TXT;GlobalID;faelle_100000_EW;Death;cases7_bl_per_100k;cases7_bl;death7_bl;cases7_bl_per_100k_txt;SHAPE_Length;SHAPE_Area
1;1;Schleswig-Holstein;Land;2903773;15;17104;10.12.2020 23:00;1;{FC5BA936-C95C-432C-8A33-9EB2F30B660F};5,89027E+14;283;6,79116E+14;1972;5;67,9;2,09191E+14;2,15955E+14
2;2;Hamburg;Freie und Hansestadt;1847253;6;28202;10.12.2020 23:00;2;{0F3E860C-5181-4D3F-A421-1D51F50315EA};1,5267E+14;458;1,05129E+14;1942;5;105,1;3,10952E+14;1,00179E+13
3;3;Niedersachsen;Land;7993608;9;82321;10.12.2020 23:00;3;{3FD77024-C29B-4843-9BE8-682AD48E60C9};1,02984E+14;1380;7,93884E+13;6346;15;79,4;2,98156E+14;6,34547E+14
4;4;Bremen;Freie Hansestadt;681202;5;11366;10.12.2020 23:00;4;{4132268B-54DE-4327-AC1E-760E915112F1};1,66852E+14;150;1,2933E+14;881;1;129,3;2,44341E+13;5,40986E+14
5;5;Nordrhein-Westfalen;Land;17947221;10;305464;10.12.2020 23:00;5;{561D658F-3EE5-46E3-BC95-3528C6558AB9};1,70201E+14;4346;1,53266E+14;27507;95;153,3;1,9725E+14;4,41341E+12
6;6;Hessen;Land;6288080;7;102817;10.12.2020 23:00;6;{93277AC4-E8FC-48C7-8940-028DC2ED66AF};1,63511E+14;1659;1,51684E+14;9538;37;151,7;1,59178E+14;2,6813E+14
7;7;Rheinland-Pfalz;Land;4093903;11;53467;10.12.2020 23:00;7;{E9B4296F-9BE2-4E53-9A58-CCF1396CB03D};1,30602E+14;805;1,43384E+13;5870;36;143,4;1,31938E+14;2,48562E+14
8;8;Baden-Württemberg;Land;11100394;1;179160;10.12.2020 23:00;8;{80394DDF-C6A4-4A6E-BE8E-0259A81B22A9};1,614E+14;3293;1,68886E+14;18747;56;168,9;1,89962E+14;4,35421E+14
9;9;Bayern;Freistaat;13124737;2;248679;10.12.2020 23:00;9;{1FF920F4-62CD-4A4F-B8C9-F042F2A3E00A};1,89474E+14;4723;1,88187E+14;24699;71;188,2;2,92833E+14;8,66112E+14
10;10;Saarland;Land;986887;12;15178;10.12.2020 23:00;10;{E3396A6F-8A30-4FDF-8DF7-DEF77DD38BEA};1,53797E+14;294;1,69118E+14;1669;3;169,1;4,2286E+14;3,18379E+12
11;11;Berlin;Land;3669491;3;76204;10.12.2020 23:00;11;{C7033073-2BB0-486B-97AF-5B3C639E7219};2,07669E+14;768;1,82805E+14;6708;20;182,8;2,68123E+14;1,18017E+13
12;12;Brandenburg;Land;2521893;4;24910;10.12.2020 23:00;12;{B560AF89-5895-4BE4-96F8-0F581CD8A858};9,8775E+14;464;1,12614E+13;2840;14;112,6;1,88795E+14;3,92196E+14
13;13;Mecklenburg-Vorpommern;Land;1608138;8;7597;10.12.2020 23:00;13;{A27F5628-E790-45BE-898D-F0A6841C0F7E};4,7241E+14;94;7,08273E+14;1139;8;70,8;3,00401E+14;3,14281E+13
14;14;Sachsen;Freistaat;4071971;13;78704;10.12.2020 23:00;14;{256D2405-A7C8-4FEC-93DF-29F3C808CD25};1,93282E+14;1505;3,13141E+14;12751;49;313,1;1,52497E+14;2,36507E+14
15;15;Sachsen-Anhalt;Land;2194782;14;17087;10.12.2020 23:00;15;{66106BBE-F04B-4F92-80E1-5B5B30DA25B5};7,78528E+14;251;1,3523E+14;2968;22;135,2;1,42173E+14;2,69042E+14
16;16;Thüringen;Freistaat;2133378;16;23818;10.12.2020 23:00;16;{3A3E2817-BB19-4F8C-8BCA-D8FF591140D4};1,11645E+14;497;1,95183E+14;4164;21;195,2;1,50325E+14;2,07032E+14
